player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.number,player.position,player.photo
21102,V. Rongier,Valentin,Rongier,31,1994-12-07,Macon,France,France,172 cm,67 kg,21,Midfielder,https://media.api-sports.io/football/players/21102.png
272460,Q. Merlin,Quentin,Merlin,23,2002-05-16,Nantes,France,France,174 cm,68 kg,3,Midfielder,https://media.api-sports.io/football/players/272460.png
1897,S. Mandanda,Steve,Mandanda Mpidi,40,1985-03-28,Kinshasa,Congo DR,France,187 cm,88 kg,30,Goalkeeper,https://media.api-sports.io/football/players/1897.png
102447,F. Moumbagna,Faris,Pemi Moumbagna,25,2000-07-01,Yaoundé,Cameroon,Cameroon,185 cm,77 kg,29,Attacker,https://media.api-sports.io/football/players/102447.png
412,A. Harit,Amine,Harit,28,1997-06-18,Pontoise,France,Morocco,180 cm,67 kg,11,Midfielder,https://media.api-sports.io/football/players/412.png
193501,B. Meité,Abdoul Bamo,Meité,24,2001-12-03,Kani,Côte d'Ivoire,Côte d'Ivoire,183 cm,75 kg,18,Midfielder,https://media.api-sports.io/football/players/193501.png
943,U. Garcia,Ulisses Alexandre,Garcia Lopes,29,1996-01-11,Almada,Portugal,Switzerland,182 cm,73 kg,6,Defender,https://media.api-sports.io/football/players/943.png
6,L. Balerdi,Leonardo Julián,Balerdi Rosa,26,1999-01-26,Villa Mercedes,Argentina,Argentina,187 cm,76 kg,5,Defender,https://media.api-sports.io/football/players/6.png
51295,D. Cornelius,Derek Austin,Cornelius,28,1997-11-25,Ajax,Canada,Canada,188 cm,86 kg,5,Defender,https://media.api-sports.io/football/players/51295.png
36827,J. de Lange,Jeffrey,de Lange,27,1998-04-01,Amstelveen,Netherlands,Netherlands,191 cm,80 kg,1,Goalkeeper,https://media.api-sports.io/football/players/36827.png
1910,M. Lopez,Maxime,Baila Lopez,28,1997-12-04,Marseille,France,France,167 cm,58 kg,21,Midfielder,https://media.api-sports.io/football/players/1910.png
1914,M. Sanson,Morgan Stéphane,Sanson,31,1994-08-18,Saint-Doulchard,France,France,180 cm,73 kg,11,Midfielder,https://media.api-sports.io/football/players/1914.png
25008,J. Clauss,Jonathan,Clauss,33,1992-09-25,Troyes,France,France,178 cm,69 kg,7,Defender,https://media.api-sports.io/football/players/25008.png
284072,B. Dieng,Cheikh Ahmadou Bamba,Mbacké Dieng,25,2000-03-23,Pikine,Senegal,Senegal,178 cm,72 kg,11,Attacker,https://media.api-sports.io/football/players/284072.png
195893,S. Touré,Souleymane Isaak,Touré,22,2003-03-28,Gonesse,France,France,206 cm,98 kg,95,Defender,https://media.api-sports.io/football/players/195893.png
1454,M. Guendouzi,Mattéo Elias Kenzo,Guendouzi Olié,26,1999-04-14,Poissy,France,France,185 cm,68 kg,8,Midfielder,https://media.api-sports.io/football/players/1454.png
333,A. Milik,Arkadiusz Krystian,Milik,31,1994-02-28,Tychy,Poland,Poland,186 cm,80 kg,14,Attacker,https://media.api-sports.io/football/players/333.png
281408,Vítinha,Vítor Manuel,Carvalho Oliveira,25,2000-03-15,Braga,Portugal,Portugal,178 cm,74 kg,19,Attacker,https://media.api-sports.io/football/players/281408.png
162707,E. Wahi,Sepe Elye,Wahi,22,2003-01-02,,France,France,184 cm,74 kg,21,Attacker,https://media.api-sports.io/football/players/162707.png
2218,I. Sarr,Ismaïla,Sarr,27,1998-02-25,Saint-Louis,Senegal,Senegal,185 cm,76 kg,23,Attacker,https://media.api-sports.io/football/players/2218.png
18592,I. Ndiaye,Iliman Cheikh,Baroy Ndiaye,25,2000-03-06,Rouen,France,Senegal,180 cm,70 kg,29,Attacker,https://media.api-sports.io/football/players/18592.png
